Temperature (C),Resistance (Kohms)
-25,1350.2461654830777
-24,1263.7731205753146
-23,1183.4640999835135
-22,1108.8380749845273
-21,1039.4546305217418
-20,974.9102882575115
-19,914.8351840800416
-18,858.8900638893348
-17,806.7635653772867
-16,758.1697569681833
-15,712.8459081498876
-14,670.5504681481806
-13,631.0612323170153
-12,594.17367777087
-11,559.6994517026774
-10,527.4649975391819
-9,497.31030560870397
-8,469.0877763553692
-7,442.66118534719783
-6,417.9047404096109
-5,394.70222218509673
-4,372.946200286923
-3,352.5373179910351
-2,333.3836391056547
-1,315.4000512814132
0,298.50772058395455
1,282.6335926527196
2,267.70993622028544
3,253.67392517158834
4,240.46725568649268
5,228.03579533680602
6,216.3292613037653
7,205.30092514772716
8,194.9073418012444
9,185.10810067270305
10,175.86559694255618
11,167.14482131015674
12,158.91316660816017
13,151.14024984513298
14,143.79774836697473
15,136.85924894533403
16,130.30010870767873
17,124.09732692012372
18,118.22942672153337
19,112.67634598669403
20,107.41933656827807
21,102.44087123261278
22,97.72455766357817
23,93.25505896284491
24,89.0180201236655
25,85.0
26,81.1884083333242
27,77.57144743640033
28,74.13805816693744
29,70.87786985474011
30,67.78115387390139
31,64.8387805771116
32,62.04217933244055
33,59.38330142420826
34,56.8545855989893
35,54.44892605554829
36,52.15964269373621
37,49.98045345223383
38,47.90544857861564
39,45.9290666876575
40,44.04607247521044
41,42.25153596540978
42,40.54081317857032
43,38.909528115901495
44,37.35355596524112
45,35.86900743940452
46,34.45221416554469
47,33.099715050162814
48,31.80824355014764
49,30.574715785501034
50,29.39621943425931
51,28.270003354590656
52,27.19346788315803
53,26.16415576262791
54,25.17974365469258
55,24.23803419819117
56,23.336948574879937
57,22.474519548137906
58,21.64888494241775
59,20.85828153358207
60,20.10103932241612
61,19.375576165596275
62,18.680392740229593
63,18.014067819777765
64,17.375253840748563
65,16.76267274099133
66,16.17511205177561
67,15.611421227077885
68,15.070508194652797
69,14.551336114533045
70,14.052920331591313
71,13.5743255097148
72,13.11466293599336
73,12.673087984110714
74,12.248797726860833
75,11.841028688391042
76,11.449054727403674
77,11.0721850431354
78,10.709762296476635
79,10.361160839100824
80,10.025785043942962
81,9.703067730805154
82,9.392468681273755
83,9.09347323751175
84,8.805590979842885
85,8.528354478372346
86,8.261318114194895
87,8.00405696602648
88,7.756165758361072
89,7.517257867501948
90,7.286964382048358
91,7.064933214633097
92,6.8508282619084975
93,6.6443286099654655
94,6.445127782545857
95,6.252933029571822
96,6.0674646536689805
97,5.888455372503091
98,5.71564971488317
99,5.548803448709391
100,5.387683038960501
101,5.232065134024816
102,5.0817360787812405
103,4.936491452932362
104,4.796135633181076
105,4.660481377926522
106,4.529349433233228
107,4.40256815890134
108,4.2799731735346365
109,4.161407017567854
110,4.046718833275392
111,3.9357640608404267
112,3.828404149616936
113,3.724506283767012
114,3.6239431215030615
115,3.526592547208595
116,3.432337435752639
117,3.3410654283519476
118,3.252668719371568
119,3.1670438534889223
120,3.0840915326786424
121,3.003716432506048
122,2.925827027245454
123,2.850335423366681
124,2.777157200958156
125,2.7062112626789943
126,2.637419689854747
127,2.5707076053527023
128,2.506003042892332
129,2.4432368224653818
130,2.382342431557623
131,2.3232559118808678
132,2.265915751339677
133,2.2102627809717244
134,2.1562400766149263
135,2.1037928650674345
